affairs,affair_status,gender,age,yearsmarried,children,religiousness,education,occupation,rating,region,frequentflyer,income_level
0.0,No,male,37,15.0,yes,4.0,18.0,5.0,3.0,urban,no,50000 - 75000
0.0,No,male,37,10.0,yes,5.0,20.0,7.0,4.0,urban,yes,50000 - 75000
0.0,No,female,27,7.0,yes,2.0,14.0,4.0,2.0,urban,yes,50000 - 75000
0.0,No,male,32,4.0,yes,2.0,16.0,5.0,5.0,urban,yes,25000 - 50000
0.0,No,male,32,4.0,yes,2.0,16.0,6.0,4.0,rural,yes,25000 - 50000
0.0,No,male,22,1.5,no,3.0,18.0,4.0,5.0,rural,yes,25000 - 50000
0.0,No,female,22,4.0,yes,4.0,14.0,3.0,4.0,rural,yes,"150000 - 200,000"
0.0,No,female,17,0.75,no,2.0,18.0,5.0,4.0,urban,yes,100000 - 150000
0.0,No,male,32,10.0,yes,4.0,20.0,4.0,5.0,urban,no,Under 25000
0.0,No,female,32,0.75,no,5.0,14.0,3.0,3.0,urban,no,"75,000 - 100000"
0.0,No,male,37,15.0,yes,4.0,17.0,5.0,3.0,urban,no,100000 - 150000
0.0,No,male,32,4.0,no,3.0,14.0,4.0,5.0,urban,no,50000 - 75000
0.0,No,female,27,1.5,no,2.0,17.0,3.0,2.0,rural,yes,25000 - 50000
0.0,No,female,22,7.0,yes,4.0,14.0,1.0,5.0,urban,yes,"150000 - 200,000"
0.0,No,male,47,15.0,yes,5.0,14.0,6.0,5.0,rural,no,50000 - 75000
0.0,No,male,27,4.0,yes,1.0,16.0,4.0,4.0,rural,no,25000 - 50000
0.0,No,female,37,15.0,yes,5.0,14.0,1.0,3.0,urban,no,50000 - 75000
0.0,No,male,42,4.0,yes,4.0,18.0,5.0,5.0,rural,no,200000 or more
0.0,No,female,32,4.0,yes,2.0,14.0,1.0,5.0,rural,yes,Under 25000
0.0,No,male,52,15.0,yes,2.0,14.0,7.0,4.0,urban,yes,"75,000 - 100000"
0.0,No,female,22,1.5,no,2.0,16.0,1.0,4.0,urban,yes,100000 - 150000
0.0,No,male,52,15.0,yes,4.0,12.0,2.0,4.0,rural,yes,25000 - 50000
0.0,No,female,22,0.417,no,3.0,17.0,1.0,5.0,rural,yes,50000 - 75000
0.0,No,female,22,1.5,no,2.0,16.0,5.0,5.0,rural,yes,"75,000 - 100000"
0.0,No,male,27,4.0,yes,4.0,20.0,6.0,4.0,rural,yes,50000 - 75000
0.0,No,female,32,15.0,yes,4.0,14.0,1.0,5.0,urban,no,200000 or more
0.0,No,female,27,1.5,no,2.0,16.0,3.0,5.0,rural,no,"75,000 - 100000"
0.0,No,male,32,4.0,no,1.0,20.0,6.0,5.0,rural,yes,50000 - 75000
0.0,No,male,37,15.0,yes,3.0,20.0,6.0,4.0,urban,yes,50000 - 75000
0.0,No,female,32,10.0,no,2.0,16.0,6.0,5.0,urban,no,"150000 - 200,000"
0.0,No,female,32,10.0,yes,5.0,14.0,5.0,5.0,rural,yes,100000 - 150000
0.0,No,male,37,1.5,yes,4.0,18.0,5.0,3.0,rural,no,50000 - 75000
0.0,No,male,32,1.5,no,2.0,18.0,4.0,4.0,rural,yes,200000 or more
0.0,No,female,32,10.0,yes,4.0,14.0,1.0,4.0,rural,no,50000 - 75000
0.0,No,female,47,15.0,yes,4.0,18.0,5.0,4.0,rural,no,50000 - 75000
0.0,No,female,27,10.0,yes,5.0,12.0,1.0,5.0,rural,yes,100000 - 150000
0.0,No,male,27,4.0,yes,3.0,16.0,4.0,5.0,urban,yes,100000 - 150000
0.0,No,female,37,15.0,yes,4.0,12.0,4.0,2.0,rural,no,50000 - 75000
0.0,No,female,27,0.75,no,4.0,16.0,5.0,5.0,urban,no,50000 - 75000
0.0,No,female,37,15.0,yes,4.0,16.0,1.0,5.0,urban,no,100000 - 150000
0.0,No,female,32,15.0,yes,3.0,16.0,1.0,5.0,rural,yes,200000 or more
0.0,No,female,27,10.0,yes,2.0,16.0,1.0,5.0,rural,no,50000 - 75000
0.0,No,male,27,7.0,no,2.0,20.0,6.0,5.0,rural,no,25000 - 50000
0.0,No,female,37,15.0,yes,2.0,14.0,1.0,3.0,rural,yes,Under 25000
0.0,No,male,27,1.5,yes,2.0,17.0,4.0,4.0,rural,yes,"75,000 - 100000"
0.0,No,female,22,0.75,yes,2.0,14.0,1.0,5.0,rural,no,100000 - 150000
0.0,No,male,22,4.0,yes,4.0,14.0,2.0,4.0,urban,yes,"150000 - 200,000"
0.0,No,male,42,0.125,no,4.0,17.0,6.0,4.0,urban,yes,25000 - 50000
0.0,No,male,27,1.5,yes,4.0,18.0,6.0,5.0,rural,yes,"150000 - 200,000"
0.0,No,male,27,7.0,yes,3.0,16.0,6.0,3.0,rural,no,25000 - 50000
0.0,No,female,52,15.0,yes,4.0,14.0,1.0,3.0,rural,no,25000 - 50000
0.0,No,male,27,1.5,no,5.0,20.0,5.0,2.0,urban,no,50000 - 75000
0.0,No,female,27,1.5,no,2.0,16.0,5.0,5.0,rural,yes,100000 - 150000
0.0,No,female,27,1.5,no,3.0,17.0,5.0,5.0,urban,no,Under 25000
0.0,No,male,22,0.125,no,5.0,16.0,4.0,4.0,rural,no,200000 or more
0.0,No,female,27,4.0,yes,4.0,16.0,1.0,5.0,rural,no,200000 or more
0.0,No,female,27,4.0,yes,4.0,12.0,1.0,5.0,urban,yes,50000 - 75000
0.0,No,female,47,15.0,yes,2.0,14.0,5.0,5.0,urban,no,"75,000 - 100000"
0.0,No,female,32,15.0,yes,3.0,14.0,5.0,3.0,rural,no,25000 - 50000
0.0,No,male,42,7.0,yes,2.0,16.0,5.0,5.0,rural,yes,Under 25000
0.0,No,male,22,0.75,no,4.0,16.0,6.0,4.0,rural,no,"75,000 - 100000"
0.0,No,male,27,0.125,no,3.0,20.0,6.0,5.0,rural,no,"75,000 - 100000"
0.0,No,male,32,10.0,yes,3.0,20.0,6.0,5.0,urban,no,50000 - 75000
0.0,No,female,22,0.417,no,5.0,14.0,4.0,5.0,rural,yes,200000 or more
0.0,No,female,47,15.0,yes,5.0,14.0,1.0,4.0,rural,yes,100000 - 150000
0.0,No,female,32,10.0,yes,3.0,14.0,1.0,5.0,rural,yes,"75,000 - 100000"
0.0,No,male,57,15.0,yes,4.0,17.0,5.0,5.0,rural,yes,Under 25000
0.0,No,male,27,4.0,yes,3.0,20.0,6.0,5.0,rural,no,"150000 - 200,000"
0.0,No,female,32,7.0,yes,4.0,17.0,1.0,5.0,rural,no,50000 - 75000
0.0,No,female,37,10.0,yes,4.0,16.0,1.0,5.0,urban,yes,"75,000 - 100000"
0.0,No,female,32,10.0,yes,1.0,18.0,1.0,4.0,rural,no,"150000 - 200,000"
0.0,No,female,22,4.0,no,3.0,14.0,1.0,4.0,urban,no,"150000 - 200,000"
0.0,No,female,27,7.0,yes,4.0,14.0,3.0,2.0,urban,no,200000 or more
0.0,No,male,57,15.0,yes,5.0,18.0,5.0,2.0,rural,yes,25000 - 50000
0.0,No,male,32,7.0,yes,2.0,18.0,5.0,5.0,rural,no,25000 - 50000
0.0,No,female,27,1.5,no,4.0,17.0,1.0,3.0,urban,yes,25000 - 50000
0.0,No,male,22,1.5,no,4.0,14.0,5.0,5.0,rural,yes,50000 - 75000
0.0,No,female,22,1.5,yes,4.0,14.0,5.0,4.0,urban,yes,Under 25000
0.0,No,female,32,7.0,yes,3.0,16.0,1.0,5.0,urban,yes,200000 or more
0.0,No,female,47,15.0,yes,3.0,16.0,5.0,4.0,rural,yes,"75,000 - 100000"
0.0,No,female,22,0.75,no,3.0,16.0,1.0,5.0,urban,no,"150000 - 200,000"
0.0,No,female,22,1.5,yes,2.0,14.0,5.0,5.0,rural,no,100000 - 150000
0.0,No,female,27,4.0,yes,1.0,16.0,5.0,5.0,rural,yes,200000 or more
0.0,No,male,52,15.0,yes,4.0,16.0,5.0,5.0,urban,yes,Under 25000
0.0,No,male,32,10.0,yes,4.0,20.0,6.0,5.0,urban,no,"75,000 - 100000"
0.0,No,male,47,15.0,yes,4.0,16.0,6.0,4.0,urban,no,Under 25000
0.0,No,female,27,7.0,yes,2.0,14.0,1.0,2.0,urban,yes,100000 - 150000
0.0,No,female,22,1.5,no,4.0,14.0,4.0,5.0,urban,yes,100000 - 150000
0.0,No,female,32,10.0,yes,2.0,16.0,5.0,4.0,urban,yes,100000 - 150000
0.0,No,female,22,0.75,no,2.0,16.0,5.0,4.0,rural,no,25000 - 50000
0.0,No,female,22,1.5,no,2.0,16.0,5.0,5.0,rural,no,25000 - 50000
0.0,No,female,42,15.0,yes,3.0,18.0,6.0,4.0,urban,no,Under 25000
0.0,No,female,27,7.0,yes,5.0,14.0,4.0,5.0,rural,yes,25000 - 50000
0.0,No,male,42,15.0,yes,4.0,16.0,4.0,4.0,urban,no,25000 - 50000
0.0,No,female,57,15.0,yes,3.0,18.0,5.0,2.0,rural,yes,"150000 - 200,000"
0.0,No,male,42,15.0,yes,3.0,18.0,6.0,2.0,urban,yes,100000 - 150000
0.0,No,female,32,7.0,yes,2.0,14.0,1.0,2.0,rural,no,200000 or more
0.0,No,male,22,4.0,no,5.0,12.0,4.0,5.0,urban,yes,50000 - 75000
0.0,No,female,22,1.5,no,1.0,16.0,6.0,5.0,urban,no,"150000 - 200,000"
0.0,No,female,22,0.75,no,1.0,14.0,4.0,5.0,rural,no,Under 25000
0.0,No,female,32,15.0,yes,4.0,12.0,1.0,5.0,rural,no,50000 - 75000
0.0,No,male,22,1.5,no,2.0,18.0,5.0,3.0,rural,no,"150000 - 200,000"
0.0,No,male,27,4.0,yes,5.0,17.0,2.0,5.0,urban,yes,50000 - 75000
0.0,No,female,27,4.0,yes,4.0,12.0,1.0,5.0,rural,yes,"75,000 - 100000"
0.0,No,male,42,15.0,yes,5.0,18.0,5.0,4.0,rural,yes,200000 or more
0.0,No,male,32,1.5,no,2.0,20.0,7.0,3.0,rural,no,200000 or more
0.0,No,male,57,15.0,no,4.0,9.0,3.0,1.0,urban,yes,"75,000 - 100000"
0.0,No,male,37,7.0,no,4.0,18.0,5.0,5.0,rural,yes,50000 - 75000
0.0,No,male,52,15.0,yes,2.0,17.0,5.0,4.0,rural,no,25000 - 50000
0.0,No,male,47,15.0,yes,4.0,17.0,6.0,5.0,rural,no,"75,000 - 100000"
0.0,No,female,27,7.0,no,2.0,17.0,5.0,4.0,rural,no,"150000 - 200,000"
0.0,No,female,27,7.0,yes,4.0,14.0,5.0,5.0,urban,no,Under 25000
0.0,No,female,22,4.0,no,2.0,14.0,3.0,3.0,urban,yes,25000 - 50000
0.0,No,male,37,7.0,yes,2.0,20.0,6.0,5.0,urban,yes,25000 - 50000
0.0,No,male,27,7.0,no,4.0,12.0,4.0,3.0,urban,yes,25000 - 50000
0.0,No,male,42,10.0,yes,4.0,18.0,6.0,4.0,rural,no,"150000 - 200,000"
0.0,No,female,22,1.5,no,3.0,14.0,1.0,5.0,rural,yes,200000 or more
0.0,No,female,22,4.0,yes,2.0,14.0,1.0,3.0,rural,no,100000 - 150000
0.0,No,female,57,15.0,no,4.0,20.0,6.0,5.0,urban,no,Under 25000
0.0,No,male,37,15.0,yes,4.0,14.0,4.0,3.0,rural,yes,"150000 - 200,000"
0.0,No,female,27,7.0,yes,3.0,18.0,5.0,5.0,rural,yes,"75,000 - 100000"
0.0,No,female,17,10.0,no,4.0,14.0,4.0,5.0,urban,no,"150000 - 200,000"
0.0,No,male,22,4.0,yes,4.0,16.0,5.0,5.0,rural,yes,100000 - 150000
0.0,No,female,27,4.0,yes,2.0,16.0,1.0,4.0,urban,yes,50000 - 75000
0.0,No,female,37,15.0,yes,2.0,14.0,5.0,1.0,rural,yes,50000 - 75000
0.0,No,female,22,1.5,no,5.0,14.0,1.0,4.0,urban,no,"75,000 - 100000"
0.0,No,male,27,7.0,yes,2.0,20.0,5.0,4.0,rural,yes,200000 or more
0.0,No,male,27,4.0,yes,4.0,14.0,5.0,5.0,rural,yes,"75,000 - 100000"
0.0,No,male,22,0.125,no,1.0,16.0,3.0,5.0,urban,no,100000 - 150000
0.0,No,female,27,7.0,yes,4.0,14.0,1.0,4.0,rural,no,100000 - 150000
0.0,No,female,32,15.0,yes,5.0,16.0,5.0,3.0,rural,no,"150000 - 200,000"
0.0,No,male,32,10.0,yes,4.0,18.0,5.0,4.0,urban,no,100000 - 150000
0.0,No,female,32,15.0,yes,2.0,14.0,3.0,4.0,rural,yes,200000 or more
0.0,No,female,22,1.5,no,3.0,17.0,5.0,5.0,rural,no,200000 or more
0.0,No,male,27,4.0,yes,4.0,17.0,4.0,4.0,rural,yes,25000 - 50000
0.0,No,female,52,15.0,yes,5.0,14.0,1.0,5.0,urban,yes,100000 - 150000
0.0,No,female,27,7.0,yes,2.0,12.0,1.0,2.0,urban,no,50000 - 75000
0.0,No,female,27,7.0,yes,3.0,12.0,1.0,4.0,urban,yes,50000 - 75000
0.0,No,female,42,15.0,yes,2.0,14.0,1.0,4.0,rural,no,200000 or more
0.0,No,female,42,15.0,yes,4.0,14.0,5.0,4.0,rural,no,"75,000 - 100000"
0.0,No,male,27,7.0,yes,4.0,14.0,3.0,3.0,rural,no,200000 or more
0.0,No,male,27,7.0,yes,2.0,20.0,6.0,2.0,rural,yes,"150000 - 200,000"
0.0,No,female,42,15.0,yes,3.0,12.0,3.0,3.0,rural,yes,Under 25000
0.0,No,male,27,4.0,yes,3.0,16.0,3.0,5.0,urban,yes,"75,000 - 100000"
0.0,No,female,27,7.0,yes,3.0,14.0,1.0,4.0,urban,yes,"75,000 - 100000"
0.0,No,female,22,1.5,no,2.0,14.0,4.0,5.0,rural,no,"75,000 - 100000"
0.0,No,female,27,4.0,yes,4.0,14.0,1.0,4.0,rural,yes,Under 25000
0.0,No,female,22,4.0,no,4.0,14.0,5.0,5.0,urban,yes,"75,000 - 100000"
0.0,No,female,22,1.5,no,2.0,16.0,4.0,5.0,rural,yes,"150000 - 200,000"
0.0,No,male,47,15.0,no,4.0,14.0,5.0,4.0,rural,no,25000 - 50000
0.0,No,male,37,10.0,yes,2.0,18.0,6.0,2.0,rural,no,"150000 - 200,000"
0.0,No,male,37,15.0,yes,3.0,17.0,5.0,4.0,rural,no,"75,000 - 100000"
0.0,No,female,27,4.0,yes,2.0,16.0,1.0,4.0,rural,yes,50000 - 75000
3.0,Yes,male,27,1.5,no,3.0,18.0,4.0,4.0,rural,yes,"150000 - 200,000"
3.0,Yes,female,27,4.0,yes,3.0,17.0,1.0,5.0,urban,no,200000 or more
7.0,Yes,male,37,15.0,yes,5.0,18.0,6.0,2.0,urban,no,"150000 - 200,000"
12.0,Yes,female,32,10.0,yes,3.0,17.0,5.0,2.0,rural,yes,"150000 - 200,000"
1.0,Yes,male,22,0.125,no,4.0,16.0,5.0,5.0,urban,no,100000 - 150000
1.0,Yes,female,22,1.5,yes,2.0,14.0,1.0,5.0,rural,no,"150000 - 200,000"
12.0,Yes,male,37,15.0,yes,4.0,14.0,5.0,2.0,urban,no,50000 - 75000
7.0,Yes,female,22,1.5,no,2.0,14.0,3.0,4.0,rural,no,"75,000 - 100000"
2.0,Yes,male,37,15.0,yes,2.0,18.0,6.0,4.0,rural,yes,50000 - 75000
3.0,Yes,female,32,15.0,yes,4.0,12.0,3.0,2.0,urban,yes,"75,000 - 100000"
1.0,Yes,female,37,15.0,yes,4.0,14.0,4.0,2.0,urban,no,25000 - 50000
7.0,Yes,female,42,15.0,yes,3.0,17.0,1.0,4.0,urban,no,50000 - 75000
12.0,Yes,female,42,15.0,yes,5.0,9.0,4.0,1.0,rural,no,"150000 - 200,000"
12.0,Yes,male,37,10.0,yes,2.0,20.0,6.0,2.0,rural,no,50000 - 75000
12.0,Yes,female,32,15.0,yes,3.0,14.0,1.0,2.0,rural,no,200000 or more
3.0,Yes,male,27,4.0,no,1.0,18.0,6.0,5.0,urban,yes,200000 or more
7.0,Yes,male,37,10.0,yes,2.0,18.0,7.0,3.0,urban,no,Under 25000
7.0,Yes,female,27,4.0,no,3.0,17.0,5.0,5.0,urban,no,50000 - 75000
1.0,Yes,male,42,15.0,yes,4.0,16.0,5.0,5.0,rural,yes,25000 - 50000
1.0,Yes,female,47,15.0,yes,5.0,14.0,4.0,5.0,urban,no,"75,000 - 100000"
7.0,Yes,female,27,4.0,yes,3.0,18.0,5.0,4.0,rural,yes,200000 or more
1.0,Yes,female,27,7.0,yes,5.0,14.0,1.0,4.0,urban,yes,100000 - 150000
12.0,Yes,male,27,1.5,yes,3.0,17.0,5.0,4.0,urban,no,25000 - 50000
12.0,Yes,female,27,7.0,yes,4.0,14.0,6.0,2.0,rural,yes,"75,000 - 100000"
3.0,Yes,female,42,15.0,yes,4.0,16.0,5.0,4.0,urban,yes,Under 25000
7.0,Yes,female,27,10.0,yes,4.0,12.0,7.0,3.0,urban,yes,200000 or more
1.0,Yes,male,27,1.5,no,2.0,18.0,5.0,2.0,rural,yes,Under 25000
1.0,Yes,male,32,4.0,no,4.0,20.0,6.0,4.0,rural,yes,"75,000 - 100000"
1.0,Yes,female,27,7.0,yes,3.0,14.0,1.0,3.0,rural,yes,"150000 - 200,000"
3.0,Yes,female,32,10.0,yes,4.0,14.0,1.0,4.0,urban,yes,"75,000 - 100000"
3.0,Yes,male,27,4.0,yes,2.0,18.0,7.0,2.0,urban,yes,50000 - 75000
1.0,Yes,female,17,0.75,no,5.0,14.0,4.0,5.0,rural,yes,"75,000 - 100000"
1.0,Yes,female,32,10.0,yes,4.0,18.0,1.0,5.0,urban,no,200000 or more
7.0,Yes,female,32,7.0,yes,2.0,17.0,6.0,4.0,urban,yes,"150000 - 200,000"
7.0,Yes,male,37,15.0,yes,2.0,20.0,6.0,4.0,rural,no,100000 - 150000
7.0,Yes,female,37,10.0,no,1.0,20.0,5.0,3.0,urban,yes,25000 - 50000
12.0,Yes,female,32,10.0,yes,2.0,16.0,5.0,5.0,urban,yes,100000 - 150000
7.0,Yes,male,52,15.0,yes,2.0,20.0,6.0,4.0,rural,yes,100000 - 150000
7.0,Yes,female,42,15.0,yes,1.0,12.0,1.0,3.0,urban,yes,"75,000 - 100000"
1.0,Yes,male,52,15.0,yes,2.0,20.0,6.0,3.0,rural,no,25000 - 50000
2.0,Yes,male,37,15.0,yes,3.0,18.0,6.0,5.0,rural,no,"150000 - 200,000"
12.0,Yes,female,22,4.0,no,3.0,12.0,3.0,4.0,rural,no,100000 - 150000
12.0,Yes,male,27,7.0,yes,1.0,18.0,6.0,2.0,urban,yes,50000 - 75000
1.0,Yes,male,27,4.0,yes,3.0,18.0,5.0,5.0,urban,no,100000 - 150000
12.0,Yes,male,47,15.0,yes,4.0,17.0,6.0,5.0,urban,yes,"150000 - 200,000"
12.0,Yes,female,42,15.0,yes,4.0,12.0,1.0,1.0,rural,yes,25000 - 50000
7.0,Yes,male,27,4.0,no,3.0,14.0,3.0,4.0,rural,yes,50000 - 75000
7.0,Yes,female,32,7.0,yes,4.0,18.0,4.0,5.0,rural,yes,200000 or more
1.0,Yes,male,32,0.417,yes,3.0,12.0,3.0,4.0,urban,no,Under 25000
3.0,Yes,male,47,15.0,yes,5.0,16.0,5.0,4.0,urban,no,"75,000 - 100000"
12.0,Yes,male,37,15.0,yes,2.0,20.0,5.0,4.0,urban,yes,100000 - 150000
7.0,Yes,male,22,4.0,yes,2.0,17.0,6.0,4.0,rural,no,"75,000 - 100000"
1.0,Yes,male,27,4.0,no,2.0,14.0,4.0,5.0,urban,no,"150000 - 200,000"
7.0,Yes,female,52,15.0,yes,5.0,16.0,1.0,3.0,urban,no,"150000 - 200,000"
1.0,Yes,male,27,4.0,no,3.0,14.0,3.0,3.0,rural,yes,"75,000 - 100000"
1.0,Yes,female,27,10.0,yes,4.0,16.0,1.0,4.0,rural,yes,"150000 - 200,000"
1.0,Yes,male,32,7.0,yes,3.0,14.0,7.0,4.0,rural,yes,25000 - 50000
7.0,Yes,male,32,7.0,yes,2.0,18.0,4.0,1.0,rural,yes,Under 25000
3.0,Yes,male,22,1.5,no,1.0,14.0,3.0,2.0,urban,no,Under 25000
7.0,Yes,male,22,4.0,yes,3.0,18.0,6.0,4.0,rural,no,25000 - 50000
7.0,Yes,male,42,15.0,yes,4.0,20.0,6.0,4.0,rural,yes,25000 - 50000
2.0,Yes,female,57,15.0,yes,1.0,18.0,5.0,4.0,rural,yes,Under 25000
7.0,Yes,female,32,4.0,yes,3.0,18.0,5.0,2.0,rural,yes,50000 - 75000
1.0,Yes,male,27,4.0,yes,1.0,16.0,4.0,4.0,urban,no,25000 - 50000
7.0,Yes,male,32,7.0,yes,4.0,16.0,1.0,4.0,rural,yes,"150000 - 200,000"
2.0,Yes,male,57,15.0,yes,1.0,17.0,4.0,4.0,rural,no,50000 - 75000
7.0,Yes,female,42,15.0,yes,4.0,14.0,5.0,2.0,urban,no,200000 or more
7.0,Yes,male,37,10.0,yes,1.0,18.0,5.0,3.0,urban,yes,"150000 - 200,000"
3.0,Yes,male,42,15.0,yes,3.0,17.0,6.0,1.0,rural,no,"150000 - 200,000"
1.0,Yes,female,52,15.0,yes,3.0,14.0,4.0,4.0,urban,yes,Under 25000
2.0,Yes,female,27,7.0,yes,3.0,17.0,5.0,3.0,rural,no,Under 25000
12.0,Yes,male,32,7.0,yes,2.0,12.0,4.0,2.0,urban,yes,25000 - 50000
1.0,Yes,male,22,4.0,no,4.0,14.0,2.0,5.0,urban,yes,25000 - 50000
3.0,Yes,male,27,7.0,yes,3.0,18.0,6.0,4.0,rural,yes,"150000 - 200,000"
12.0,Yes,female,37,15.0,yes,1.0,18.0,5.0,5.0,rural,yes,50000 - 75000
7.0,Yes,female,32,15.0,yes,3.0,17.0,1.0,3.0,urban,no,Under 25000
7.0,Yes,female,27,7.0,no,2.0,17.0,5.0,5.0,urban,no,50000 - 75000
1.0,Yes,female,32,7.0,yes,3.0,17.0,5.0,3.0,rural,yes,"150000 - 200,000"
1.0,Yes,male,32,1.5,yes,2.0,14.0,2.0,4.0,rural,yes,200000 or more
12.0,Yes,female,42,15.0,yes,4.0,14.0,1.0,2.0,rural,no,"150000 - 200,000"
7.0,Yes,male,32,10.0,yes,3.0,14.0,5.0,4.0,urban,yes,25000 - 50000
7.0,Yes,male,37,4.0,yes,1.0,20.0,6.0,3.0,rural,yes,"150000 - 200,000"
1.0,Yes,female,27,4.0,yes,2.0,16.0,5.0,3.0,rural,no,50000 - 75000
12.0,Yes,female,42,15.0,yes,3.0,14.0,4.0,3.0,urban,yes,200000 or more
1.0,Yes,male,27,10.0,yes,5.0,20.0,6.0,5.0,rural,yes,200000 or more
12.0,Yes,male,37,10.0,yes,2.0,20.0,6.0,2.0,rural,no,"75,000 - 100000"
12.0,Yes,female,27,7.0,yes,1.0,14.0,3.0,3.0,rural,yes,"75,000 - 100000"
3.0,Yes,female,27,7.0,yes,4.0,12.0,1.0,2.0,rural,no,25000 - 50000
3.0,Yes,male,32,10.0,yes,2.0,14.0,4.0,4.0,rural,no,200000 or more
12.0,Yes,female,17,0.75,yes,2.0,12.0,1.0,3.0,rural,no,25000 - 50000
12.0,Yes,female,32,15.0,yes,3.0,18.0,5.0,4.0,urban,no,25000 - 50000
2.0,Yes,female,22,7.0,no,4.0,14.0,4.0,3.0,urban,no,25000 - 50000
1.0,Yes,male,32,7.0,yes,4.0,20.0,6.0,5.0,rural,yes,100000 - 150000
7.0,Yes,male,27,4.0,yes,2.0,18.0,6.0,2.0,urban,yes,200000 or more
1.0,Yes,female,22,1.5,yes,5.0,14.0,5.0,3.0,rural,no,25000 - 50000
12.0,Yes,female,32,15.0,no,3.0,17.0,5.0,1.0,rural,yes,"150000 - 200,000"
12.0,Yes,female,42,15.0,yes,2.0,12.0,1.0,2.0,urban,yes,50000 - 75000
7.0,Yes,male,42,15.0,yes,3.0,20.0,5.0,4.0,rural,no,25000 - 50000
12.0,Yes,male,32,10.0,no,2.0,18.0,4.0,2.0,urban,no,Under 25000
12.0,Yes,female,32,15.0,yes,3.0,9.0,1.0,1.0,rural,no,"75,000 - 100000"
7.0,Yes,male,57,15.0,yes,5.0,20.0,4.0,5.0,rural,yes,50000 - 75000
12.0,Yes,male,47,15.0,yes,4.0,20.0,6.0,4.0,rural,yes,"75,000 - 100000"
2.0,Yes,female,42,15.0,yes,2.0,17.0,6.0,3.0,urban,yes,Under 25000
12.0,Yes,male,37,15.0,yes,3.0,17.0,6.0,3.0,urban,yes,100000 - 150000
12.0,Yes,male,37,15.0,yes,5.0,17.0,5.0,2.0,rural,no,Under 25000
7.0,Yes,male,27,10.0,yes,2.0,20.0,6.0,4.0,urban,no,"75,000 - 100000"
2.0,Yes,male,37,15.0,yes,2.0,16.0,5.0,4.0,rural,no,25000 - 50000
12.0,Yes,female,32,15.0,yes,1.0,14.0,5.0,2.0,rural,yes,"150000 - 200,000"
7.0,Yes,male,32,10.0,yes,3.0,17.0,6.0,3.0,rural,yes,25000 - 50000
2.0,Yes,male,37,15.0,yes,4.0,18.0,5.0,1.0,urban,yes,Under 25000
7.0,Yes,female,27,1.5,no,2.0,17.0,5.0,5.0,urban,no,50000 - 75000
3.0,Yes,female,47,15.0,yes,2.0,17.0,5.0,2.0,rural,yes,100000 - 150000
12.0,Yes,male,37,15.0,yes,2.0,17.0,5.0,4.0,rural,yes,25000 - 50000
12.0,Yes,female,27,4.0,no,2.0,14.0,5.0,5.0,rural,no,Under 25000
2.0,Yes,female,27,10.0,yes,4.0,14.0,1.0,5.0,rural,no,Under 25000
1.0,Yes,female,22,4.0,yes,3.0,16.0,1.0,3.0,rural,yes,50000 - 75000
12.0,Yes,male,52,7.0,no,4.0,16.0,5.0,5.0,rural,no,200000 or more
2.0,Yes,female,27,4.0,yes,1.0,16.0,3.0,5.0,rural,yes,100000 - 150000
7.0,Yes,female,37,15.0,yes,2.0,17.0,6.0,4.0,urban,no,50000 - 75000
2.0,Yes,female,27,4.0,no,1.0,17.0,3.0,1.0,rural,yes,Under 25000
12.0,Yes,female,17,0.75,yes,2.0,12.0,3.0,5.0,rural,no,"150000 - 200,000"
7.0,Yes,female,32,15.0,yes,5.0,18.0,5.0,4.0,urban,no,200000 or more
7.0,Yes,female,22,4.0,no,1.0,16.0,3.0,5.0,rural,yes,50000 - 75000
2.0,Yes,male,32,4.0,yes,4.0,18.0,6.0,4.0,urban,yes,200000 or more
1.0,Yes,female,22,1.5,yes,3.0,18.0,5.0,2.0,urban,yes,"150000 - 200,000"
3.0,Yes,female,42,15.0,yes,2.0,17.0,5.0,4.0,urban,yes,200000 or more
1.0,Yes,male,32,7.0,yes,4.0,16.0,4.0,4.0,urban,yes,"75,000 - 100000"
12.0,Yes,male,37,15.0,no,3.0,14.0,6.0,2.0,rural,yes,Under 25000
1.0,Yes,male,42,15.0,yes,3.0,16.0,6.0,3.0,rural,no,25000 - 50000
1.0,Yes,male,27,4.0,yes,1.0,18.0,5.0,4.0,urban,no,"150000 - 200,000"
2.0,Yes,male,37,15.0,yes,4.0,20.0,7.0,3.0,rural,no,Under 25000
7.0,Yes,male,37,15.0,yes,3.0,20.0,6.0,4.0,rural,yes,"75,000 - 100000"
3.0,Yes,male,22,1.5,no,2.0,12.0,3.0,3.0,rural,yes,Under 25000
3.0,Yes,male,32,4.0,yes,3.0,20.0,6.0,2.0,urban,yes,200000 or more
2.0,Yes,male,32,15.0,yes,5.0,20.0,6.0,5.0,urban,yes,"75,000 - 100000"
12.0,Yes,female,52,15.0,yes,1.0,18.0,5.0,5.0,urban,no,"150000 - 200,000"
12.0,Yes,male,47,15.0,no,1.0,18.0,6.0,5.0,urban,yes,50000 - 75000
3.0,Yes,female,32,15.0,yes,4.0,16.0,4.0,4.0,rural,yes,25000 - 50000
7.0,Yes,female,32,15.0,yes,3.0,14.0,3.0,2.0,urban,yes,100000 - 150000
